electorate,locality_suburb,postcode,state
Adelaide,Sefton Park,5083,SA
Adelaide,Thebarton,5031,SA
Adelaide,Thorngate,5082,SA
Adelaide,Torrensville,5031,SA
Adelaide,Underdale,5032,SA
Adelaide,Unley,5061,SA
Adelaide,Unley Park,5061,SA
Adelaide,Vale Park,5081,SA
Adelaide,Walkerville,5081,SA
Adelaide,Wayville,5034,SA
Adelaide,Welland,5007,SA
Adelaide,West Croydon,5008,SA
Adelaide,West Hindmarsh,5007,SA
Adelaide,Woodville Gardens,5012,SA
Aston,Bayswater,3153,VIC
Aston,Boronia,3155,VIC
Aston,Ferntree Gully,3156,VIC
Aston,Knoxfield,3180,VIC
Aston,Lysterfield,3156,VIC
Aston,Mountain Gate,3156,VIC
Aston,Rowville,3178,VIC
Aston,Sassafras,3787,VIC
Aston,Scoresby,3179,VIC
Aston,Studfield,3152,VIC
Aston,The Basin,3154,VIC
Aston,Upper Ferntree Gully,3156,VIC
Aston,Wantirna,3152,VIC
Aston,Wantirna South,3152,VIC
Ballarat,Addington,3352,VIC
Ballarat,Alfredton,3350,VIC
Ballarat,Allendale,3364,VIC
Ballarat,Ascot,3364,VIC
Ballarat,Bacchus Marsh,3340,VIC
Ballarat,Bakery Hill,3350,VIC
Ballarat,Bald Hills,3364,VIC
Ballarat,Ballan,3342,VIC
Ballarat,Ballarat,3350,VIC
Ballarat,Ballarat Central,3350,VIC
Ballarat,Ballarat East,3350,VIC
Ballarat,Ballarat North,3350,VIC
Ballarat,Balliang,3340,VIC
Ballarat,Balliang East,3340,VIC
Ballarat,Barkstead,3364,VIC
Ballarat,Barrys Reef,3458,VIC
Ballarat,Basalt,3460,VIC
Ballarat,Beremboke,3342,VIC
Ballarat,Black Hill,3350,VIC
Ballarat,Blackwood,3458,VIC
Ballarat,Blackwood North,3458,VIC
Ballarat,Blakeville,3342,VIC
Ballarat,Blampied,3364,VIC
Ballarat,Blowhard,3352,VIC
Ballarat,Bo Peep,3351,VIC
Ballarat,Bolwarrah,3352,VIC
Ballarat,Bonshaw,3352,VIC
Ballarat,Broomfield,3364,VIC
Ballarat,Brown Hill,3350,VIC
Ballarat,Bullarook,3352,VIC
Ballarat,Bullarto,3461,VIC
Ballarat,Bullarto South,3461,VIC
Ballarat,Bunding,3342,VIC
Ballarat,Bungal,3334,VIC
Ballarat,Bungaree,3352,VIC
Ballarat,Buninyong,3357,VIC
Ballarat,Bunkers Hill,3352,VIC
Ballarat,Burrumbeet,3352,VIC
Ballarat,Cabbage Tree,3364,VIC
Ballarat,Campbelltown,3364,VIC
Ballarat,Canadian,3350,VIC
Ballarat,Cardigan,3352,VIC
Ballarat,Cardigan Village,3352,VIC
Ballarat,Cargerie,3334,VIC
Ballarat,Clarendon,3352,VIC
Ballarat,Claretown,3352,VIC
Ballarat,Clarkes Hill,3352,VIC
Ballarat,Clunes,3370,VIC
Ballarat,Clydesdale,3461,VIC
Ballarat,Coghills Creek,3364,VIC
Ballarat,Coimadai,3340,VIC
Ballarat,Colbrook,3342,VIC
Ballarat,Coomoora,3461,VIC
Ballarat,Creswick,3363,VIC
Ballarat,Creswick North,3363,VIC
Ballarat,Dales Creek,3341,VIC
Ballarat,Darley,3340,VIC
Ballarat,Daylesford,3460,VIC
Ballarat,Dean,3363,VIC
Ballarat,Delacombe,3356,VIC
Ballarat,Denver,3461,VIC
Ballarat,Drummond,3461,VIC
Ballarat,Drummond North,3446,VIC
Ballarat,Dry Diggings,3461,VIC
Ballarat,Dunach,3371,VIC
Ballarat,Dunnstown,3352,VIC
Ballarat,Durham Lead,3352,VIC
Ballarat,East Ballarat,3350,VIC
Ballarat,Eganstown,3461,VIC
Ballarat,Elaine,3334,VIC
Ballarat,Elevated Plains,3461,VIC
Ballarat,Ercildoune,3352,VIC
Ballarat,Eureka,3350,VIC
Ballarat,Evansford,3371,VIC
Ballarat,Fern Hill,3458,VIC
Ballarat,Fiskville,3342,VIC
Ballarat,Franklinford,3461,VIC
Ballarat,Glen Park,3352,VIC
Ballarat,Glendaruel,3363,VIC
Ballarat,Glendonald,3364,VIC
Ballarat,Glengower,3370,VIC
Ballarat,Glenlyon,3461,VIC
Ballarat,Glenmore,3340,VIC
Ballarat,Golden Point,3350,VIC
Ballarat,Gong Gong,3352,VIC
Ballarat,Gordon,3345,VIC
Ballarat,Greendale,3341,VIC
Ballarat,Grenville,3352,VIC
Ballarat,Guildford,3451,VIC
Ballarat,Hepburn,3461,VIC
Ballarat,Hepburn Springs,3461,VIC
Ballarat,Hopetoun Park,3340,VIC
Ballarat,Ingliston,3342,VIC
Ballarat,Invermay,3352,VIC
Ballarat,Invermay Park,3350,VIC
Ballarat,Kingston,3364,VIC
Ballarat,Kooroocheang,3364,VIC
Banks,Allawah,2218,NSW
Banks,Beverly Hills,2209,NSW
Banks,Blakehurst,2221,NSW
Banks,Carlton,2218,NSW
Banks,Connells Point,2221,NSW
Banks,East Hills,2213,NSW
Banks,Hurstville,2220,NSW
Banks,Hurstville Grove,2220,NSW
Banks,Lugarno,2210,NSW
Banks,Milperra,2214,NSW
Banks,Mortdale,2223,NSW
Banks,Narwee,2209,NSW
Banks,Oatley,2223,NSW
Banks,Padstow,2211,NSW
Banks,Padstow Heights,2211,NSW
Banks,Panania,2213,NSW
Banks,Peakhurst,2210,NSW
Banks,Peakhurst Heights,2210,NSW
Banks,Penshurst,2222,NSW
Banks,Picnic Point,2213,NSW
Banks,Revesby,2212,NSW
Banks,Revesby Heights,2212,NSW
Banks,Riverwood,2210,NSW
Banks,South Hurstville,2221,NSW
Barker,Alawoona,5311,SA
Barker,Allendale East,5291,SA
Barker,Allendale North,5373,SA
Barker,Altona,5351,SA
Barker,Angas Valley,5238,SA
Barker,Angaston,5353,SA
Barker,Annadale,5356,SA
Barker,Apamurra,5237,SA
Barker,Ashville,5259,SA
Barker,Avenue Range,5273,SA
Barker,Avoca Dell,5253,SA
Barker,Bagot Well,5373,SA
Barker,Bakara,5354,SA
Barker,Bakara Well,5354,SA
Barker,Bangham,5268,SA
Barker,Barmera,5345,SA
Barker,Barossa Goldfields,5351,SA
Barker,Beachport,5280,SA
Barker,Beatty,5320,SA
Barker,Beaumonts,5320,SA
Barker,Berri,5343,SA
Barker,Bethany,5352,SA
Barker,Bethel,5373,SA
Barker,Big Bend,5238,SA
Barker,Binnum,5262,SA
Barker,Birdwood,5234,SA
Barker,Biscuit Flat,5275,SA
Barker,Black Hill,5353,SA
Barker,Blackfellows Caves,5291,SA
Barker,Blackford,5275,SA
Barker,Blanchetown,5357,SA
Barker,Boatswain Point,5275,SA
Barker,Bolto,5238,SA
Barker,Bookpurnong,5333,SA
Barker,Bool Lagoon,5271,SA
Barker,Boolgun,5330,SA
Barker,Bordertown,5268,SA
Barker,Bordertown South,5268,SA
Barker,Borrika,5309,SA
Barker,Bower,5374,SA
Barker,Bowhill,5238,SA
Barker,Bray,5276,SA
Barker,Brenda Park,5320,SA
Barker,Brimbago,5267,SA
Barker,Brinkley,5253,SA
Barker,Buckingham,5270,SA
Barker,Bugle Hut,5311,SA
Barker,Bunbury,5266,SA
Barker,Burdett,5253,SA
Barker,Burrungule,5291,SA
Barker,Cadell,5321,SA
Barker,Cadell Lagoon,5321,SA
Barker,Cadgee,5271,SA
Barker,Caliph,5310,SA
Barker,Callington,5254,SA
Barker,Caloote,5254,SA
Barker,Calperum Station,5341,SA
Barker,Cambrai,5353,SA
Barker,Cannawigara,5268,SA
Barker,Canopus,5341,SA
Barker,Canunda,5291,SA
Barker,Cape Douglas,5291,SA
Barker,Cape Jaffa,5275,SA
Barker,Carcuma,5301,SA
Barker,Carew,5270,SA
Barker,Caroline,5291,SA
Barker,Carpenter Rocks,5291,SA
Barker,Caurnamont,5238,SA
Barker,Caveton,5291,SA
Barker,Chaffey,5341,SA
Barker,Chapman Bore,5253,SA
Barker,Chowilla,5341,SA
Barker,Clay Wells,5280,SA
Barker,Claypans,5238,SA
Barker,Cobdogla,5346,SA
Barker,Cockatoo Valley,5351,SA
Barker,Colebatch,5266,SA
Barker,Coles,5272,SA
Barker,Comaum,5277,SA
Barker,Compton,5291,SA
Barker,Conmurra,5272,SA
Barker,Cooke Plains,5261,SA
Barker,Cooltong,5341,SA
Barker,Coomandook,5261,SA
Barker,Coombe,5267,SA
Barker,Coonalpyn,5265,SA
Barker,Coonawarra,5263,SA
Barker,Coorong,5264,SA
Barker,Copeville,5308,SA
Barker,Cowirra,5238,SA
Barker,Crescent,5341,SA
Barker,Cromer,5235,SA
Barker,Culburra,5261,SA
Barker,Custon,5269,SA
Barker,Daveyston,5355,SA
Barker,Deepwater,5266,SA
Barker,Devlins Pound,5330,SA
Barker,Dismal Swamp,5291,SA
Barton,Arncliffe,2205,NSW
Barton,Banksia,2216,NSW
Barton,Bardwell Park,2207,NSW
Barton,Bardwell Valley,2207,NSW
Barton,Belmore,2192,NSW
Barton,Beverly Hills,2209,NSW
Barton,Bexley,2207,NSW
Barton,Bexley North,2207,NSW
Barton,Brighton-Le-Sands,2216,NSW
Barton,Campsie,2194,NSW
Barton,Canterbury,2193,NSW
Barton,Carlton,2218,NSW
Barton,Clemton Park,2206,NSW
Barton,Dulwich Hill,2203,NSW
Barton,Earlwood,2206,NSW
Barton,Hurlstone Park,2193,NSW
Barton,Hurstville,2220,NSW
Barton,Kingsgrove,2208,NSW
Barton,Kogarah,2217,NSW
Barton,Kyeemagh,2216,NSW
Barton,Marrickville,2204,NSW
Barton,Penshurst,2222,NSW
Barton,Rockdale,2216,NSW
Barton,Tempe,2044,NSW
Barton,Turrella,2205,NSW
Barton,Undercliffe,2206,NSW
Barton,Wolli Creek,2205,NSW
Bass,Alanvale,7248,TAS
Bass,Alberton,7263,TAS
Bass,Badger Corner,7255,TAS
Bass,Badger Head,7270,TAS
Bass,Banca,7265,TAS
Bass,Bangor,7267,TAS
Bass,Beaconsfield,7270,TAS
Bass,Beauty Point,7270,TAS
Bass,Beechford,7252,TAS
Bass,Bell Bay,7253,TAS
Bass,Bellingham,7254,TAS
Bass,Big Green Island,7255,TAS
Bass,Birralee,7303,TAS
Bass,Blackwall,7275,TAS
Bass,Blessington,7212,TAS
Bass,Blue Rocks,7255,TAS
Bass,Blumont,7260,TAS
Bass,Boobyalla,7264,TAS
Bass,Branxholm,7261,TAS
Bass,Bridgenorth,7277,TAS
Bass,Bridport,7262,TAS
Bass,Burns Creek,7212,TAS
Bass,Cape Barren Island,7257,TAS
Bass,Cape Portland,7264,TAS
Bass,Clarence Point,7270,TAS
Bass,Clarke Island,7264,TAS
Bass,Cuckoo,7260,TAS
Bass,Deal Island,7255,TAS
Bass,Derby,7264,TAS
Bass,Deviot,7275,TAS
Bass,Dilston,7252,TAS
Bass,East Launceston,7250,TAS
Bass,Emita,7255,TAS
Bass,Exeter,7275,TAS
Bass,Flowery Gully,7270,TAS
Bass,Forester,7260,TAS
Bass,Frankford,7275,TAS
Bass,George Town,7253,TAS
Bass,Gladstone,7264,TAS
Bass,Glengarry,7275,TAS
Bass,Golconda,7254,TAS
Bass,Gravelly Beach,7276,TAS
Bass,Greens Beach,7270,TAS
Bass,Grindelwald,7277,TAS
Bass,Herrick,7264,TAS
Bass,Hillwood,7252,TAS
Bass,Holwell,7275,TAS
Bass,Invermay,7248,TAS
Bass,Jetsonville,7260,TAS
Bass,Kamona,7260,TAS
Bass,Karoola,7267,TAS
Bass,Kayena,7270,TAS
Bass,Kelso,7270,TAS
Bass,Killiecrankie,7255,TAS
Bass,Kings Meadows,7249,TAS
Bass,Lackrana,7255,TAS
Bass,Lady Barron,7255,TAS
Bass,Lalla,7267,TAS
Bass,Lanena,7275,TAS
Bass,Launceston,7250,TAS
Bass,Lebrina,7254,TAS
Bass,Leeka,7255,TAS
Bass,Lefroy,7252,TAS
Bass,Legana,7277,TAS
Bass,Legerwood,7263,TAS
Bass,Lietinna,7260,TAS
Bass,Lilydale,7268,TAS
Bass,Loccota,7255,TAS
Bass,Loira,7275,TAS
Bass,Low Head,7253,TAS
Bass,Lower Turners Marsh,7267,TAS
Bass,Lughrata,7255,TAS
Bass,Lulworth,7252,TAS
Bass,Mayfield,7248,TAS
Bass,Memana,7255,TAS
Bass,Moorina,7264,TAS
Bass,Mount Direction,7252,TAS
Bass,Mowbray,7248,TAS
Bass,Musselroe Bay,7264,TAS
Bass,Myrtle Bank,7259,TAS
Bass,Myrtle Park,7259,TAS
Bass,Nabowla,7260,TAS
Bass,Newnham,7248,TAS
Bass,Newstead,7250,TAS
Bass,North Lilydale,7268,TAS
Bass,North Scottsdale,7260,TAS
Bass,Norwood,7250,TAS
Bass,Notley Hills,7275,TAS
Bass,Nunamara,7259,TAS
Bass,Palana,7255,TAS
Bass,Patersonia,7259,TAS
Bass,Pioneer,7264,TAS
Bass,Pipers Brook,7254,TAS
Bass,Pipers River,7252,TAS
Bass,Prospect,7250,TAS
Bass,Punchbowl,7249,TAS
Bass,Puncheon Island,7255,TAS
Bass,Ranga,7255,TAS
Bass,Ravenswood,7250,TAS
Bass,Relbia,7258,TAS
Bean,Banks,2906,ACT
Bean,Belconnen District,2617,ACT
Bean,Bonython,2905,ACT
Bean,Booth District,2620,ACT
Bean,Calwell,2905,ACT
Bean,Chapman,2611,ACT
Bean,Chifley,2606,ACT
Bean,Chisholm,2905,ACT
Bean,Conder,2906,ACT
Bean,Coombs,2611,ACT
Bean,Coree District,2611,ACT
Bean,Corin Dam,2620,ACT
Bean,Cotter Dam,2611,ACT
Bean,Cotter River District,2611,ACT
Bean,Denman Prospect,2611,ACT
Bean,Duffy,2611,ACT
Bean,Fadden,2904,ACT
Bean,Farrer,2607,ACT
Bean,Fisher,2611,ACT
Bean,Gilmore,2905,ACT
Bean,Gordon,2906,ACT
Bean,Gowrie,2904,ACT
Bean,Greenway,2900,ACT
Bean,Hmas Harman,2600,ACT
Bean,Holder,2611,ACT
Bean,Hume,2620,ACT
Bean,Isaacs,2607,ACT
Bean,Isabella Plains,2905,ACT
Bean,Jerrabomberra District,2609,ACT
Bean,Kambah,2902,ACT
Bean,Macarthur,2904,ACT
Bean,Mawson,2607,ACT
Bean,Molonglo Valley District,2611,ACT
Bean,Monash,2904,ACT
Bean,Mount Stromlo,2611,ACT
Bean,Norfolk Island,2899,ACT
Bean,O'Malley,2606,ACT
Bean,Oxley,2903,ACT
Bean,Paddys River District,2620,ACT
Bean,Pearce,2607,ACT
Bean,Phillip,2606,ACT
Bean,Pierces Creek,2611,ACT
Bean,Rendezvous Creek District,2620,ACT
Bean,Richardson,2905,ACT
Bean,Rivett,2611,ACT
Bean,Royalla,2620,ACT
Bean,Stirling,2611,ACT
Bean,Stromlo,2611,ACT
Bean,Stromlo District,2611,ACT
Bean,Swinger Hill,2606,ACT
Bean,Symonston,2609,ACT
Bean,Tennent District,2620,ACT
Bean,Tharwa,2620,ACT
Bean,Theodore,2905,ACT
Bean,Torrens,2607,ACT
Bean,Tuggeranong District,2620,ACT
Bean,Uriarra,2611,ACT
Bean,Wanniassa,2903,ACT
Bean,Waramanga,2611,ACT
Bean,Weston,2611,ACT
Bean,Weston Creek District,2611,ACT
Bean,Whitlam,2611,ACT
Bean,Williamsdale,2620,ACT
Bean,Wright,2611,ACT
Bendigo,Argyle,3523,VIC
Bendigo,Ascot,3551,VIC
Bendigo,Ashbourne,3442,VIC
Bendigo,Avonmore,3559,VIC
Bendigo,Axe Creek,3551,VIC
Bendigo,Axedale,3551,VIC
Bendigo,Bagshot,3551,VIC
Bendigo,Bagshot North,3551,VIC
Bendigo,Barfold,3444,VIC
Bendigo,Baringhup,3463,VIC
Bendigo,Baringhup West,3463,VIC
Bendigo,Barkers Creek,3451,VIC
Bendigo,Barnadown,3557,VIC
Bendigo,Baynton,3444,VIC
Bendigo,Baynton East,3444,VIC
Bendigo,Bendigo,3550,VIC
Bendigo,Benloch,3435,VIC
Bendigo,Big Hill,3555,VIC
Bendigo,Bradford,3463,VIC
Bendigo,Cadello,3442,VIC
Bendigo,California Gully,3556,VIC
Bendigo,Campbells Creek,3451,VIC
Bendigo,Campbelltown,3364,VIC
Bendigo,Carisbrook,3464,VIC
Bendigo,Carlsruhe,3442,VIC
Bendigo,Castlemaine,3450,VIC
Bendigo,Chewton,3451,VIC
Bendigo,Chewton Bushlands,3451,VIC
Bendigo,Costerfield,3523,VIC
Bendigo,Derrinal,3523,VIC
Bendigo,Drummartin,3570,VIC
Bendigo,Drummond,3461,VIC
Bendigo,Drummond North,3461,VIC
Bendigo,Eaglehawk,3556,VIC
Bendigo,Eaglehawk North,3556,VIC
Bendigo,East Bendigo,3550,VIC
Bendigo,Eastville,3463,VIC
Bendigo,Eddington,3472,VIC
Bendigo,Edgecombe,3444,VIC
Bendigo,Elmore,3558,VIC
Bendigo,Elphinstone,3448,VIC
Bendigo,Emu Creek,3551,VIC
Bendigo,Eppalock,3551,VIC
Bendigo,Epsom,3551,VIC
Bendigo,Faraday,3451,VIC
Bendigo,Fern Hill,3458,VIC
Bendigo,Flora Hill,3550,VIC
Bendigo,Fosterville,3557,VIC
Bendigo,Franklinford,3461,VIC
Bendigo,Fryerstown,3451,VIC
Bendigo,Glenhope,3444,VIC
Bendigo,Glenhope East,3522,VIC
Bendigo,Glenluce,3451,VIC
Bendigo,Golden Gully,3555,VIC
Bendigo,Golden Point,3451,VIC
Bendigo,Golden Square,3555,VIC
Bendigo,Goornong,3557,VIC
Bendigo,Gower,3451,VIC
Bendigo,Gower,3463,VIC
Bendigo,Green Gully,3462,VIC
Bendigo,Greenhill,3444,VIC
Bendigo,Guildford,3451,VIC
Bendigo,Harcourt,3453,VIC
Bendigo,Harcourt North,3453,VIC
Bendigo,Heathcote,3523,VIC
Bendigo,Heathcote South,3523,VIC
Bendigo,Hunter,3558,VIC
Bendigo,Huntly,3551,VIC
Bendigo,Huntly North,3551,VIC
Bendigo,Irishtown,3451,VIC
Bendigo,Ironbark,3550,VIC
Bendigo,Jackass Flat,3556,VIC
Bendigo,Joyces Creek,3364,VIC
Bendigo,Junortoun,3551,VIC
Bendigo,Kamarooka,3570,VIC
Bendigo,Kangaroo Flat,3555,VIC
Bendigo,Kennington,3550,VIC
Bendigo,Kimbolton,3551,VIC
Bendigo,Knowsley,3523,VIC
Bendigo,Knowsley,3551,VIC
Bendigo,Kyneton,3444,VIC
Bendigo,Kyneton South,3444,VIC
Bendigo,Ladys Pass,3523,VIC
Bendigo,Langley,3444,VIC
Bendigo,Lauriston,3444,VIC
Bendigo,Leichardt,3516,VIC
Bendigo,Lockwood,3551,VIC
Bendigo,Lockwood South,3551,VIC
Bendigo,Long Gully,3550,VIC
Bendigo,Long Gully,3556,VIC
Bendigo,Longlea,3551,VIC
Bendigo,Lyal,3444,VIC
Bendigo,Maiden Gully,3551,VIC
Bendigo,Maiden Gully,3555,VIC
Bendigo,Maiden Gully,3556,VIC
Bendigo,Maldon,3463,VIC
Bendigo,Malmsbury,3446,VIC
Bendigo,Mandurang,3551,VIC
Bendigo,Mandurang South,3551,VIC
Bendigo,Marong,3515,VIC
Bennelong,Beecroft,2119,NSW
Bennelong,Boronia Park,2111,NSW
Bennelong,Carlingford,2118,NSW
Bennelong,Chatswood West,2067,NSW
Bennelong,Denistone,2114,NSW
Bennelong,Denistone East,2112,NSW
Bennelong,Denistone West,2114,NSW
Bennelong,Dundas,2117,NSW
Bennelong,East Ryde,2113,NSW
Bennelong,Eastwood,2122,NSW
Bennelong,Epping,2121,NSW
Bennelong,Ermington,2115,NSW
Bennelong,Gladesville,2111,NSW
Bennelong,Islington,2296,NSW
Bennelong,Macquarie Park,2113,NSW
Bennelong,Marsfield,2122,NSW
Bennelong,Meadowbank,2114,NSW
Bennelong,Melrose Park,2114,NSW
Bennelong,Monash Park,2111,NSW
Bennelong,North Epping,2121,NSW
Bennelong,North Ryde,2113,NSW
Bennelong,Putney,2112,NSW
Bennelong,Ryde,2112,NSW
Bennelong,Tennyson Point,2111,NSW
Bennelong,West Ryde,2114,NSW
Berowra,Annangrove,2156,NSW
Berowra,Arcadia,2159,NSW
Berowra,Asquith,2077,NSW
Berowra,Beecroft,2119,NSW
Berowra,Berowra,2081,NSW
Berowra,Berowra Heights,2082,NSW
Berowra,Berowra Waters,2082,NSW
Berowra,Berrilee,2159,NSW
Berowra,Brooklyn,2083,NSW
Berowra,Canoelands,2157,NSW
Berowra,Carlingford,2118,NSW
Berowra,Castle Hill,2154,NSW
Berowra,Cattai,2756,NSW
Berowra,Cheltenham,2119,NSW
Berowra,Cherrybrook,2126,NSW
Berowra,Cowan,2081,NSW
Berowra,Dangar Island,2083,NSW
Berowra,Dural,2158,NSW
Berowra,Fiddletown,2159,NSW
Berowra,Fishermans Point,2083,NSW
Berowra,Forest Glen,2157,NSW
Berowra,Galston,2159,NSW
Berowra,Glenhaven,2156,NSW
Berowra,Glenorie,2157,NSW
Berowra,Hawkesbury River,2083,NSW
Berowra,Hornsby,2077,NSW
Berowra,Hornsby Heights,2077,NSW
Berowra,Kenthurst,2156,NSW
Berowra,Laughtondale,2775,NSW
Berowra,Leets Vale,2775,NSW
Berowra,Lower Hawkesbury,2775,NSW
Berowra,Lower Portland,2756,NSW
Berowra,Maraylya,2765,NSW
Berowra,Maroota,2756,NSW
Berowra,Middle Dural,2158,NSW
Berowra,Milsons Passage,2083,NSW
Berowra,Mount Colah,2079,NSW
Berowra,Mount Kuring-Gai,2080,NSW
Berowra,Normanhurst,2076,NSW
Berowra,Pennant Hills,2120,NSW
Berowra,Round Corner,2158,NSW
Berowra,Sackville North,2756,NSW
Berowra,Singletons Mill,2775,NSW
Berowra,South Maroota,2756,NSW
Berowra,Thornleigh,2120,NSW
Berowra,West Pennant Hills,2125,NSW
Berowra,Westleigh,2120,NSW
Berowra,Wisemans Ferry,2775,NSW
Blair,Amberley,4306,QLD
Blair,Ashwell,4340,QLD
Blair,Atkinsons Dam,4311,QLD
Blair,Augustine Heights,4300,QLD
Blair,Avoca Vale,4314,QLD
Blair,Banks Creek,4306,QLD
Blair,Barellan Point,4306,QLD
Blair,Basin Pocket,4305,QLD
Blair,Bergins Hill,4304,QLD
Blair,Biarra,4313,QLD
Blair,Blacksoil,4306,QLD
Blair,Blackstone,4304,QLD
Blair,Booval,4304,QLD
Blair,Borallon,4306,QLD
Blair,Braemore,4313,QLD
Blair,Brassall,4305,QLD
Blair,Brightview,4311,QLD
Blair,Bryden,4312,QLD
Blair,Buaraba,4311,QLD
Blair,Bundamba,4304,QLD
Blair,Caboonbah,4312,QLD
Blair,Calvert,4340,QLD
Blair,Churchill,4305,QLD
Blair,Chuwar,4306,QLD
Blair,Clarendon,4311,QLD
Blair,Coal Creek,4312,QLD
Blair,Coalfalls,4305,QLD
Blair,Colinton,4314,QLD
Blair,Collingwood Park,4301,QLD
Blair,Cooeeimbardi,4313,QLD
Blair,Coolana,4311,QLD
Blair,Coominya,4311,QLD
Blair,Cressbrook,4313,QLD
Blair,Crossdale,4312,QLD
Blair,Deebing Heights,4306,QLD
Blair,Denmark Hill,4305,QLD
Blair,Dinmore,4303,QLD
Blair,Dundas,4306,QLD
Blair,East Ipswich,4305,QLD
Blair,Eastern Heights,4305,QLD
Blair,Ebbw Vale,4304,QLD
Blair,Ebenezer,4340,QLD
Blair,England Creek,4306,QLD
Blair,Esk,4312,QLD
Blair,Eskdale,4312,QLD
Blair,Fairney View,4306,QLD
Blair,Fernvale,4306,QLD
Blair,Flinders View,4305,QLD
Blair,Fulham,4313,QLD
Blair,Glamorgan Vale,4306,QLD
Blair,Glen Esk,4312,QLD
Blair,Glenfern,4515,QLD
Blair,Goolman,4306,QLD
Blair,Grandchester,4340,QLD
Blair,Gregors Creek,4313,QLD
Blair,Haigslea,4306,QLD
Blair,Harlin,4314,QLD
Blair,Hazeldean,4515,QLD
Blair,Ipswich,4305,QLD
Blair,Ironbark,4306,QLD
Blair,Ivory Creek,4313,QLD
Blair,Jeebropilly,4340,QLD
Blair,Jimna,4515,QLD
Blair,Karalee,4306,QLD
Blair,Karana Downs,4306,QLD
Blair,Karrabin,4306,QLD
Blair,Kholo,4306,QLD
Blair,Kilcoy,4515,QLD
Blair,Kingaham,4515,QLD
Blair,Lake Manchester,4306,QLD
Blair,Lanefield,4340,QLD
Blair,Lark Hill,4306,QLD
Blair,Leichhardt,4305,QLD
Blair,Linville,4314,QLD
Blair,Lockrose,4342,QLD
Blair,Lower Cressbrook,4313,QLD
Blair,Lower Mount Walker,4340,QLD
Blair,Lowood,4311,QLD
Blair,Marburg,4346,QLD
Blair,Minden,4311,QLD
Blair,Monsildale,4515,QLD
Blair,Moombra,4312,QLD
Blair,Moore,4314,QLD
Blair,Moores Pocket,4305,QLD
Blair,Mount Archer,4514,QLD
Blair,Mount Beppo,4313,QLD
Blair,Mount Byron,4312,QLD
Blair,Mount Crosby,4306,QLD
Blair,Mount Forbes,4340,QLD
Blair,Mount Hallen,4312,QLD
Blair,Mount Kilcoy,4515,QLD
Blair,Mount Marrow,4306,QLD
Blair,Mount Mort,4340,QLD
Blair,Mount Stanley,4314,QLD
Blair,Mount Tarampa,4311,QLD
Blair,Mount Walker West,4340,QLD
Blair,Muirlea,4306,QLD
Blair,Murrumba,4312,QLD
Blair,Mutdapilly,4307,QLD
Blair,New Chum,4303,QLD
Blaxland,Auburn,2144,NSW
Blaxland,Bankstown,2200,NSW
Blaxland,Bankstown Aerodrome,2200,NSW
Blaxland,Bass Hill,2197,NSW
Blaxland,Berala,2141,NSW
Blaxland,Birrong,2143,NSW
Blaxland,Chester Hill,2162,NSW
Blaxland,Condell Park,2200,NSW
Blaxland,Georges Hall,2198,NSW
